"genre","series_title","gross","imdb_rating","director"
"Action, Sci-Fi","The Terminator",38400000,"8","James Cameron"
"Action, Adventure, Sci-Fi","The Avengers",623279547,"8","Joss Whedon"
"Action, Adventure, Fantasy","Star Wars: Episode VI - Return of the Jedi",309125409,"8.3","Richard Marquand"
"Action, Adventure, Fantasy","Wo hu cang long",128078872,"7.8","Ang Lee"
"Action, Drama, History","Empire of the Sun",22238696,"7.7","Steven Spielberg"
"Action, Drama, Sport","Warrior",13657115,"8.2","Gavin O'Connor"
"Action, Adventure, Thriller","Die Hard: With a Vengeance",100012499,"7.6","John McTiernan"
"Action, Adventure, Sci-Fi","Star Trek II: The Wrath of Khan",78912963,"7.7","Nicholas Meyer"
"Action, Adventure, Sci-Fi","Serenity",25514517,"7.8","Joss Whedon"
"Action, Adventure, Sci-Fi","X: First Class",146408305,"7.7","Matthew Vaughn"
"Action, Crime, Drama","Falling Down",40903593,"7.6","Joel Schumacher"
"Action, Crime, Drama","The Fugitive",183875760,"7.8","Andrew Davis"
"Action, Thriller","Taken",145000989,"7.8","Pierre Morel"
"Action, Mystery, Thriller","The Bourne Identity",121661683,"7.9","Doug Liman"
"Action, Adventure, Sci-Fi","Jurassic Park",402453882,"8.1","Steven Spielberg"
"Action, Adventure, Sci-Fi","Star Wars: Episode VII - The Force Awakens",936662225,"7.9","J.J. Abrams"
"Action, Crime, Drama","Tropa de Elite 2: O Inimigo Agora é Outro",100119,"8","José Padilha"
"Action, Crime, Drama","Ajeossi",6460,"7.8","Jeong-beom Lee"
"Action, Adventure, Sci-Fi","The Fifth Element",63540020,"7.7","Luc Besson"
"Action, Adventure, Comedy","Deadpool",363070709,"8","Tim Miller"
"Action, Drama, Western","Rio Bravo",12535000,"8","Howard Hawks"
"Action, Drama, War","Ran",4135750,"8.2","Akira Kurosawa"
"Action, Adventure, Sci-Fi","Star Trek",257730019,"7.9","J.J. Abrams"
"Action, Biography, Drama","Only the Brave",18340051,"7.6","Joseph Kosinski"
"Action, Crime, Thriller","Dirty Harry",35900000,"7.7","Don Siegel"
