"gross","genre","series_title","imdb_rating","director"
936662225,"Action, Adventure, Sci-Fi","Star Wars: Episode VII - The Force Awakens","7.9","J.J. Abrams"
858373000,"Action, Adventure, Drama","Avengers: Endgame","8.4","Anthony Russo"
760507625,"Action, Adventure, Fantasy","Avatar","7.8","James Cameron"
678815482,"Action, Adventure, Sci-Fi","Avengers: Infinity War","8.4","Anthony Russo"
623279547,"Action, Adventure, Sci-Fi","The Avengers","8","Joss Whedon"
608581744,"Animation, Action, Adventure","Incredibles 2","7.6","Brad Bird"
532177324,"Action, Adventure, Sci-Fi","Rogue One","7.8","Gareth Edwards"
448139099,"Action, Adventure","The Dark Knight Rises","8.4","Christopher Nolan"
434038008,"Animation, Adventure, Comedy","Toy Story 4","7.8","Josh Cooley"
422783777,"Animation, Adventure, Drama","The Lion King","8.5","Roger Allers"
415004880,"Animation, Adventure, Comedy","Toy Story 3","8.2","Lee Unkrich"
408084349,"Action, Adventure, Sci-Fi","Captain America: Civil War","7.8","Anthony Russo"
402453882,"Action, Adventure, Sci-Fi","Jurassic Park","8.1","Steven Spielberg"
389813101,"Action, Adventure, Comedy","Guardians of the Galaxy Vol. 2","7.6","James Gunn"
381011219,"Adventure, Drama, Fantasy","Harry Potter and the Deathly Hallows: Part 2","8.1","David Yates"
380843261,"Animation, Adventure, Comedy","Finding Nemo","8.1","Andrew Stanton"
377845905,"Action, Adventure, Drama","The Lord of the Rings: The Return of the King","8.9","Peter Jackson"
363070709,"Action, Adventure, Comedy","Deadpool","8","Tim Miller"
356461711,"Animation, Adventure, Comedy","Inside Out","8.1","Pete Docter"
342551365,"Action, Adventure, Drama","The Lord of the Rings: The Two Towers","8.7","Peter Jackson"
341268248,"Animation, Adventure, Comedy","Zootopia","8","Byron Howard"
333176600,"Action, Adventure, Comedy","Guardians of the Galaxy","8","James Gunn"
324591735,"Action, Adventure, Comedy","Deadpool 2","7.7","David Leitch"
322740140,"Action, Adventure, Fantasy","Star Wars","8.6","George Lucas"
318412101,"Action, Adventure, Sci-Fi","Iron Man","7.9","Jon Favreau"
317575550,"Adventure, Family, Fantasy","Harry Potter and the Sorcerer's Stone","7.6","Chris Columbus"
315544750,"Action, Adventure, Drama","The Lord of the Rings: The Fellowship of the Ring","8.8","Peter Jackson"
315058289,"Action, Adventure, Comedy","Thor: Ragnarok","7.9","Taika Waititi"
309125409,"Action, Adventure, Fantasy","Star Wars: Episode VI - Return of the Jedi","8.3","Richard Marquand"
305413918,"Action, Adventure, Fantasy","Pirates of the Caribbean: The Curse of the Black Pearl","8","Gore Verbinski"
304360277,"Action, Adventure, Thriller","Skyfall","7.7","Sam Mendes"
303003568,"Adventure, Fantasy","The Hobbit: An Unexpected Journey","7.8","Peter Jackson"
301959197,"Action, Adventure, Family","Harry Potter and the Half-Blood Prince","7.6","David Yates"
295983305,"Adventure, Family, Fantasy","Harry Potter and the Deathly Hallows: Part 1","7.7","David Yates"
293004164,"Animation, Adventure, Comedy","Up","8.2","Pete Docter"
292576195,"Action, Adventure, Sci-Fi","Inception","8.8","Christopher Nolan"
290475067,"Action, Adventure, Fantasy","Star Wars: Episode V - The Empire Strikes Back","8.7","Irvin Kershner"
290013036,"Adventure, Family, Fantasy","Harry Potter and the Goblet of Fire","7.7","Mike Newell"
289916256,"Animation, Adventure, Comedy","Monsters, Inc.","8.1","Pete Docter"
267665011,"Animation, Adventure, Comedy","Shrek","7.8","Andrew Adamson"
261441092,"Animation, Action, Adventure","The Incredibles","8","Brad Bird"
260000000,"Adventure, Thriller","Jaws","8","Steven Spielberg"
259766572,"Action, Adventure, Sci-Fi","Captain America: The Winter Soldier","7.7","Anthony Russo"
258366855,"Adventure, Fantasy","The Hobbit: The Desolation of Smaug","7.8","Peter Jackson"
257760692,"Animation, Action, Adventure","The Lego Movie","7.7","Christopher Miller"
257730019,"Action, Adventure, Sci-Fi","Star Trek","7.9","J.J. Abrams"
249358727,"Adventure, Family, Fantasy","Harry Potter and the Prisoner of Azkaban","7.9","Alfonso Cuarón"
248757044,"Animation, Adventure, Comedy","Moana","7.6","Ron Clements"
248159971,"Action, Adventure","Raiders of the Lost Ark","8.4","Steven Spielberg"
245852179,"Animation, Adventure, Comedy","Toy Story 2","7.9","John Lasseter"
233921534,"Action, Adventure, Sci-Fi","X-Men: Days of Future Past","7.9","Bryan Singer"
233632142,"Adventure, Drama, Romance","Cast Away","7.8","Robert Zemeckis"
228778661,"Action, Adventure, Sci-Fi","Star Trek Into Darkness","7.7","J.J. Abrams"
228433663,"Adventure, Drama, Sci-Fi","The Martian","8","Ridley Scott"
223808164,"Animation, Adventure, Family","WALL·E","8.4","Andrew Stanton"
222527828,"Animation, Action, Adventure","Big Hero 6","7.8","Don Hall"
220159104,"Action, Adventure, Thriller","Mission: Impossible - Fallout","7.7","Christopher McQuarrie"
217581231,"Animation, Action, Adventure","How to Train Your Dragon","8.1","Dean DeBlois"
217350219,"Animation, Adventure, Comedy","Aladdin","8","Ron Clements"
210609762,"Adventure, Comedy, Sci-Fi","Back to the Future","8.5","Robert Zemeckis"
209726015,"Animation, Adventure, Family","Coco","8.4","Lee Unkrich"
209028679,"Action, Adventure, Mystery","Sherlock Holmes","7.6","Guy Ritchie"
208545589,"Action, Adventure, Drama","Dawn of the Planet of the Apes","7.6","Matt Reeves"
206852432,"Action, Adventure","Batman Begins","8.2","Christopher Nolan"
206445654,"Animation, Adventure, Comedy","Ratatouille","8","Brad Bird"
200821936,"Animation, Adventure, Comedy","Tangled","7.7","Nathan Greno"
197171806,"Action, Adventure","Indiana Jones and the Last Crusade","8.2","Steven Spielberg"
