"genre","series_title","gross","imdb_rating","director"
"Comedy, Drama, Romance","Trois couleurs: Blanc",1464625,"7.6","Krzysztof Kieslowski"
"Comedy, Drama, Musical","Kal Ho Naa Ho",1787378,"8","Nikkhil Advani"
"Comedy","The Hangover",277322503,"7.7","Todd Phillips"
"Comedy, Family","A Christmas Story",20605209,"7.9","Bob Clark"
"Comedy, Drama","Hannah and Her Sisters",40084041,"7.9","Woody Allen"
"Comedy, Drama","Crimes and Misdemeanors",18254702,"7.9","Woody Allen"
"Comedy, Crime, Drama","The Sting",159600000,"8.3","George Roy Hill"
"Comedy","Zelig",11798616,"7.7","Woody Allen"
"Comedy, Musical, Romance","Singin' in the Rain",8819028,"8.3","Stanley Donen"
"Comedy, Crime, Drama","Chung Hing sam lam",600200,"8.1","Kar-Wai Wong"
"Comedy, Drama","Adaptation.",22245861,"7.7","Spike Jonze"
"Comedy, Drama, Romance","Manhattan",45700000,"7.9","Woody Allen"
"Comedy, Family","Home Alone",285761243,"7.6","Chris Columbus"
"Comedy, Drama","Birdman or (The Unexpected Virtue of Ignorance)",42340598,"7.7","Alejandro G. Iñárritu"
"Comedy, Crime, Drama","Knives Out",165359751,"7.9","Rian Johnson"
"Comedy, Crime, Drama","After Hours",10600000,"7.7","Martin Scorsese"
"Comedy, Drama","Guess Who's Coming to Dinner",56700000,"7.8","Stanley Kramer"
"Comedy, Drama","Night on Earth",2015810,"7.8","Jim Jarmusch"
"Comedy, Drama","Once Upon a Time... in Hollywood",142502728,"7.6","Quentin Tarantino"
"Comedy","Le charme discret de la bourgeoisie",198809,"7.9","Luis Buñuel"
"Comedy, Crime","Delicatessen",1794187,"7.6","Marc Caro"
"Comedy, Family, Fantasy","Mary Poppins",102272727,"7.8","Robert Stevenson"
"Comedy, Western","Blazing Saddles",119500000,"7.7","Mel Brooks"
"Comedy, Crime, Romance","Crna macka, beli macor",348660,"8.1","Emir Kusturica"
"Comedy, Drama","3 Idiots",6532908,"8.4","Rajkumar Hirani"
"Comedy, Crime, Drama","Down by Law",1436000,"7.8","Jim Jarmusch"
"Comedy, Drama","Short Cuts",6110979,"7.7","Robert Altman"
"Comedy","Dazed and Confused",7993039,"7.6","Richard Linklater"
"Comedy, Drama, Romance","His Girl Friday",296000,"7.9","Howard Hawks"
"Comedy, Drama","Do the Right Thing",27545445,"8","Spike Lee"
"Comedy, Drama","La dolce vita",19516000,"8","Federico Fellini"
"Comedy, Drama, Romance","En man som heter Ove",3358518,"7.7","Hannes Holm"
"Comedy, Drama, Music","Sing Street",3237118,"7.9","John Carney"
"Comedy","The Odd Couple",44527234,"7.7","Gene Saks"
"Comedy, Drama, Romance","The Artist",44671682,"7.9","Michel Hazanavicius"
"Comedy, Drama, Romance","Good Bye Lenin!",4064200,"7.7","Wolfgang Becker"
"Comedy, Romance","Amélie",33225499,"8.3","Jean-Pierre Jeunet"
"Comedy, Drama, Romance","As Good as It Gets",148478011,"7.7","James L. Brooks"
"Comedy, Drama","Happiness",2807390,"7.7","Todd Solondz"
"Comedy, Drama, War","Jojo Rabbit",349555,"7.9","Taika Waititi"
"Comedy, Drama","Lost in Translation",44585453,"7.7","Sofia Coppola"
"Comedy, Drama, Family","The Muppet Christmas Carol",27281507,"7.7","Brian Henson"
"Comedy, Drama, Romance","Lage Raho Munna Bhai",2217561,"8.1","Rajkumar Hirani"
"Comedy, Drama, War","The Great Dictator",288475,"8.4","Charles Chaplin"
