"gross","genre","series_title","imdb_rating","director"
434038008,"Animation, Adventure, Comedy","Toy Story 4","7.8","Josh Cooley"
415004880,"Animation, Adventure, Comedy","Toy Story 3","8.2","Lee Unkrich"
389813101,"Action, Adventure, Comedy","Guardians of the Galaxy Vol. 2","7.6","James Gunn"
380843261,"Animation, Adventure, Comedy","Finding Nemo","8.1","Andrew Stanton"
363070709,"Action, Adventure, Comedy","Deadpool","8","Tim Miller"
356461711,"Animation, Adventure, Comedy","Inside Out","8.1","Pete Docter"
341268248,"Animation, Adventure, Comedy","Zootopia","8","Byron Howard"
333176600,"Action, Adventure, Comedy","Guardians of the Galaxy","8","James Gunn"
324591735,"Action, Adventure, Comedy","Deadpool 2","7.7","David Leitch"
315058289,"Action, Adventure, Comedy","Thor: Ragnarok","7.9","Taika Waititi"
293004164,"Animation, Adventure, Comedy","Up","8.2","Pete Docter"
289916256,"Animation, Adventure, Comedy","Monsters, Inc.","8.1","Pete Docter"
285761243,"Comedy, Family","Home Alone","7.6","Chris Columbus"
277322503,"Comedy","The Hangover","7.7","Todd Phillips"
267665011,"Animation, Adventure, Comedy","Shrek","7.8","Andrew Adamson"
251513985,"Animation, Comedy, Crime","Despicable Me","7.6","Pierre Coffin"
248757044,"Animation, Adventure, Comedy","Moana","7.6","Ron Clements"
245852179,"Animation, Adventure, Comedy","Toy Story 2","7.9","John Lasseter"
238632124,"Action, Comedy, Fantasy","Ghostbusters","7.8","Ivan Reitman"
217350219,"Animation, Adventure, Comedy","Aladdin","8","Ron Clements"
210609762,"Adventure, Comedy, Sci-Fi","Back to the Future","8.5","Robert Zemeckis"
206445654,"Animation, Adventure, Comedy","Ratatouille","8","Brad Bird"
200821936,"Animation, Adventure, Comedy","Tangled","7.7","Nathan Greno"
191796233,"Animation, Adventure, Comedy","Toy Story","8.3","John Lasseter"
189422889,"Animation, Adventure, Comedy","Wreck-It Ralph","7.7","Rich Moore"
165359751,"Comedy, Crime, Drama","Knives Out","7.9","Rian Johnson"
159600000,"Comedy, Crime, Drama","The Sting","8.3","George Roy Hill"
156452370,"Animation, Adventure, Comedy","Who Framed Roger Rabbit","7.7","Robert Zemeckis"
151101803,"Comedy, Drama, Music","La La Land","8","Damien Chazelle"
148478011,"Comedy, Drama, Romance","As Good as It Gets","7.7","James L. Brooks"
142502728,"Comedy, Drama","Once Upon a Time... in Hollywood","7.6","Quentin Tarantino"
132092958,"Comedy, Drama, Romance","Silver Linings Playbook","7.7","David O. Russell"
128261724,"Action, Adventure, Comedy","Kingsman: The Secret Service","7.7","Matthew Vaughn"
125618201,"Comedy, Drama","The Truman Show","8.1","Peter Weir"
119500000,"Comedy, Western","Blazing Saddles","7.7","Mel Brooks"
118500000,"Adventure, Comedy, Sci-Fi","Back to the Future Part II","7.8","Robert Zemeckis"
104945305,"Comedy, Drama, Romance","The Graduate","8","Mike Nichols"
102272727,"Comedy, Family, Fantasy","Mary Poppins","7.8","Robert Stevenson"
95860116,"Comedy, Drama","Dead Poets Society","8.1","Peter Weir"
92823600,"Comedy, Drama, Romance","When Harry Met Sally...","7.6","Rob Reiner"
86300000,"Comedy","Young Frankenstein","8","Mel Brooks"
85080171,"Biography, Comedy, Drama","Green Book","8.2","Peter Farrelly"
83400000,"Comedy","Airplane!","7.7","Jim Abrahams"
78756177,"Comedy, Crime","The Naked Gun: From the Files of Police Squad!","7.6","David Zucker"
76657000,"Adventure, Comedy, Family","The Muppet Movie","7.6","James Frawley"
75590286,"Adventure, Comedy, Fantasy","Zombieland","7.6","Ruben Fleischer"
70906973,"Comedy, Fantasy, Romance","Groundhog Day","8","Harold Ramis"
70259870,"Biography, Comedy, Drama","The Big Short","7.8","Adam McKay"
70136369,"Comedy","Ferris Bueller's Day Off","7.8","John Hughes"
61503218,"Adventure, Comedy, Family","The Goonies","7.8","Richard Donner"
59891098,"Comedy, Drama","Little Miss Sunshine","7.8","Jonathan Dayton"
59100318,"Adventure, Comedy, Crime","The Grand Budapest Hotel","8.1","Wes Anderson"
57598247,"Comedy, Drama, Romance","La vita è bella","8.6","Roberto Benigni"
57229890,"Action, Adventure, Comedy","The Blues Brothers","7.9","John Landis"
56816662,"Comedy, Fantasy, Romance","Midnight in Paris","7.7","Woody Allen"
56700000,"Comedy, Drama","Guess Who's Coming to Dinner","7.8","Stanley Kramer"
54513740,"Comedy, Crime, Drama","Three Billboards Outside Ebbing, Missouri","8.2","Martin McDonagh"
53367844,"Comedy, Drama, Thriller","Gisaengchung","8.6","Bong Joon Ho"
52929168,"Comedy, Crime","My Cousin Vinny","7.6","Jonathan Lynn"
52364010,"Comedy, Drama","The Royal Tenenbaums","7.6","Wes Anderson"
52037603,"Animation, Comedy, Fantasy","South Park: Bigger, Longer & Uncut","7.7","Trey Parker"
49530280,"Comedy, Drama","Planes, Trains & Automobiles","7.6","John Hughes"
48071303,"Action, Comedy, Crime","Kick-Ass","7.6","Matthew Vaughn"
45875171,"Comedy, Drama","The Breakfast Club","7.8","John Hughes"
45700000,"Comedy, Drama, Romance","Manhattan","7.9","Woody Allen"
45512588,"Adventure, Comedy, Crime","O Brother, Where Art Thou?","7.7","Joel Coen"
45512466,"Comedy, Drama, Romance","Moonrise Kingdom","7.8","Wes Anderson"
44671682,"Comedy, Drama, Romance","The Artist","7.9","Michel Hazanavicius"
44585453,"Comedy, Drama","Lost in Translation","7.7","Sofia Coppola"
44527234,"Comedy","The Odd Couple","7.7","Gene Saks"
42340598,"Comedy, Drama","Birdman or (The Unexpected Virtue of Ignorance)","7.7","Alejandro G. Iñárritu"
40442052,"Adventure, Comedy, Family","Paddington 2","7.8","Paul King"
40084041,"Comedy, Drama","Hannah and Her Sisters","7.9","Woody Allen"
39200000,"Comedy, Romance","Annie Hall","8","Woody Allen"
37707719,"Biography, Comedy, Drama","Philomena","7.6","Stephen Frears"
35014192,"Comedy, Drama, Romance","50/50","7.6","Jonathan Levine"
