"gross","genre","series_title","imdb_rating","director"
936662225,"Action, Adventure, Sci-Fi","Star Wars: Episode VII - The Force Awakens","7.9","J.J. Abrams"
858373000,"Action, Adventure, Drama","Avengers: Endgame","8.4","Anthony Russo"
760507625,"Action, Adventure, Fantasy","Avatar","7.8","James Cameron"
678815482,"Action, Adventure, Sci-Fi","Avengers: Infinity War","8.4","Anthony Russo"
623279547,"Action, Adventure, Sci-Fi","The Avengers","8","Joss Whedon"
534858444,"Action, Crime, Drama","The Dark Knight","9","Christopher Nolan"
532177324,"Action, Adventure, Sci-Fi","Rogue One","7.8","Gareth Edwards"
448139099,"Action, Adventure","The Dark Knight Rises","8.4","Christopher Nolan"
408084349,"Action, Adventure, Sci-Fi","Captain America: Civil War","7.8","Anthony Russo"
402453882,"Action, Adventure, Sci-Fi","Jurassic Park","8.1","Steven Spielberg"
389813101,"Action, Adventure, Comedy","Guardians of the Galaxy Vol. 2","7.6","James Gunn"
377845905,"Action, Adventure, Drama","The Lord of the Rings: The Return of the King","8.9","Peter Jackson"
363070709,"Action, Adventure, Comedy","Deadpool","8","Tim Miller"
342551365,"Action, Adventure, Drama","The Lord of the Rings: The Two Towers","8.7","Peter Jackson"
333176600,"Action, Adventure, Comedy","Guardians of the Galaxy","8","James Gunn"
324591735,"Action, Adventure, Comedy","Deadpool 2","7.7","David Leitch"
322740140,"Action, Adventure, Fantasy","Star Wars","8.6","George Lucas"
318412101,"Action, Adventure, Sci-Fi","Iron Man","7.9","Jon Favreau"
315544750,"Action, Adventure, Drama","The Lord of the Rings: The Fellowship of the Ring","8.8","Peter Jackson"
315058289,"Action, Adventure, Comedy","Thor: Ragnarok","7.9","Taika Waititi"
309125409,"Action, Adventure, Fantasy","Star Wars: Episode VI - Return of the Jedi","8.3","Richard Marquand"
305413918,"Action, Adventure, Fantasy","Pirates of the Caribbean: The Curse of the Black Pearl","8","Gore Verbinski"
304360277,"Action, Adventure, Thriller","Skyfall","7.7","Sam Mendes"
301959197,"Action, Adventure, Family","Harry Potter and the Half-Blood Prince","7.6","David Yates"
292576195,"Action, Adventure, Sci-Fi","Inception","8.8","Christopher Nolan"
290475067,"Action, Adventure, Fantasy","Star Wars: Episode V - The Empire Strikes Back","8.7","Irvin Kershner"
259766572,"Action, Adventure, Sci-Fi","Captain America: The Winter Soldier","7.7","Anthony Russo"
257730019,"Action, Adventure, Sci-Fi","Star Trek","7.9","J.J. Abrams"
248159971,"Action, Adventure","Raiders of the Lost Ark","8.4","Steven Spielberg"
238632124,"Action, Comedy, Fantasy","Ghostbusters","7.8","Ivan Reitman"
233921534,"Action, Adventure, Sci-Fi","X-Men: Days of Future Past","7.9","Bryan Singer"
228778661,"Action, Adventure, Sci-Fi","Star Trek Into Darkness","7.7","J.J. Abrams"
227471070,"Action, Mystery, Thriller","The Bourne Ultimatum","8","Paul Greengrass"
226277068,"Action, Drama, Sci-Fi","Logan","8.1","James Mangold"
220159104,"Action, Adventure, Thriller","Mission: Impossible - Fallout","7.7","Christopher McQuarrie"
210614939,"Action, Drama","300","7.6","Zack Snyder"
209028679,"Action, Adventure, Mystery","Sherlock Holmes","7.6","Guy Ritchie"
208545589,"Action, Adventure, Drama","Dawn of the Planet of the Apes","7.6","Matt Reeves"
206852432,"Action, Adventure","Batman Begins","8.2","Christopher Nolan"
204843350,"Action, Sci-Fi","Terminator 2: Judgment Day","8.5","James Cameron"
197171806,"Action, Adventure","Indiana Jones and the Last Crusade","8.2","Steven Spielberg"
188373161,"Action, Drama, History","Dunkirk","7.8","Christopher Nolan"
187705427,"Action, Adventure, Drama","Gladiator","8.5","Ridley Scott"
183875760,"Action, Crime, Drama","The Fugitive","7.8","Andrew Davis"
183637894,"Action, Adventure, Drama","The Revenant","8","Alejandro G. Iñárritu"
176241941,"Action, Mystery, Thriller","The Bourne Supremacy","7.7","Paul Greengrass"
171479930,"Action, Sci-Fi","The Matrix","8.7","Lana Wachowski"
167445960,"Action, Adventure, Thriller","Casino Royale","8","Martin Campbell"
154058340,"Action, Adventure, Sci-Fi","Mad Max: Fury Road","8.1","George Miller"
146408305,"Action, Adventure, Sci-Fi","X: First Class","7.7","Matthew Vaughn"
145000989,"Action, Thriller","Taken","7.8","Pierre Morel"
132072926,"Action, Crime, Mystery","Minority Report","7.6","Steven Spielberg"
128261724,"Action, Adventure, Comedy","Kingsman: The Secret Service","7.7","Matthew Vaughn"
128078872,"Action, Adventure, Fantasy","Wo hu cang long","7.8","Ang Lee"
121661683,"Action, Mystery, Thriller","The Bourne Identity","7.9","Doug Liman"
117624028,"Action, Biography, Drama","Ford v Ferrari","8.1","James Mangold"
115646235,"Action, Sci-Fi, Thriller","District 9","7.9","Neill Blomkamp"
111110575,"Action, Drama","The Last Samurai","7.7","Edward Zwick"
107825862,"Action, Crime, Drama","Baby Driver","7.6","Edgar Wright"
107509799,"Action, Drama, Mystery","Watchmen","7.6","Zack Snyder"
100206256,"Action, Adventure, Sci-Fi","Edge of Tomorrow","7.9","Doug Liman"
100012499,"Action, Adventure, Thriller","Die Hard: With a Vengeance","7.6","John McTiernan"
92054159,"Action, Drama, Mystery","Blade Runner 2049","8","Denis Villeneuve"
85160248,"Action, Adventure, Sci-Fi","Aliens","8.3","James Cameron"
83008852,"Action, Thriller","Die Hard","8.2","John McTiernan"
78912963,"Action, Adventure, Sci-Fi","Star Trek II: The Wrath of Khan","7.7","Nicholas Meyer"
77911774,"Action, Crime, Drama","Man on Fire","7.7","Tony Scott"
75505856,"Action, Adventure, Drama","The Last of the Mohicans","7.7","Michael Mann"
70511035,"Action, Drama, Sci-Fi","V for Vendetta","8.2","James McTeigue"
