"yearlygross","director"
"2478133165","Steven Spielberg"
"2205039403","Anthony Russo"
"1937454106","Christopher Nolan"
"1748236602","James Cameron"
"1597312443","Peter Jackson"
"1423170905","J.J. Abrams"
"1099627795","Brad Bird"
"1049446456","Robert Zemeckis"
"978953721","David Yates"
"939382131","Pete Docter"
"766711423","Ridley Scott"
"727034316","Quentin Tarantino"
"722989701","James Gunn"
"713314479","David Fincher"
"698139284","Sam Mendes"
"648794064","Joss Whedon"
"624730895","Lee Unkrich"
"612773814","Todd Phillips"
"604651425","Andrew Stanton"
"603336793","Chris Columbus"
"592692644","Clint Eastwood"
"582645455","Alfonso Cuarón"
"577650742","Ron Clements"
"538319198","Martin Scorsese"
"532177324","Gareth Edwards"
"517027414","James Mangold"
"510813866","Paul Greengrass"
"473691144","Bryan Singer"
"451770965","Ron Howard"
"437648412","John Lasseter"
"434038008","Josh Cooley"
"422783777","Roger Allers"
"394584155","Dean DeBlois"
"380526843","Rob Reiner"
"379292432","Ang Lee"
"363070709","Tim Miller"
"361376270","Matthew Vaughn"
"346823984","Francis Ford Coppola"
"341268248","Byron Howard"
"331922798","Mike Newell"
"324591735","David Leitch"
"322740140","George Lucas"
"320610426","Taika Waititi"
"318412101","Jon Favreau"
"318124738","Zack Snyder"
"309125409","Richard Marquand"
"307348989","Denis Villeneuve"
"305413918","Gore Verbinski"
"293506292","M. Night Shyamalan"
"290475067","Irvin Kershner"
"267665011","Andrew Adamson"
"261908889","George Roy Hill"
"257760692","Christopher Miller"
"255959475","John Lee Hancock"
"251513985","Pierre Coffin"
"248536855","William Friedkin"
"247652802","Alejandro G. Iñárritu"
"245575280","Woody Allen"
"245526630","Ethan Coen"
"243254404","Guy Ritchie"
"242756899","John McTiernan"
"238632124","Ivan Reitman"
"233518283","Gabriele Muccino"
"227900000","Barry Levinson"
"227100163","Wes Anderson"
"225709967","David O. Russell"
"222527828","Don Hall"
"221867939","Doug Liman"
"221478317","Peter Weir"
"220159104","Christopher McQuarrie"
"218967620","Gary Trousdale"
"215288866","Bradley Cooper"
"208936063","Oliver Stone"
"208545589","Matt Reeves"
"208067344","Jonathan Demme"
"205800000","Mel Brooks"
"202886628","Danny Boyle"
"201454144","David Lean"
"200821936","Nathan Greno"
"200752479","Victor Fleming"
"195306837","Edward Zwick"
"193676250","Mel Gibson"
"190241310","Bob Persichetti"
"189422889","Rich Moore"
"184208848","Kevin Costner"
"183875760","Andrew Davis"
"183813669","Stanley Kubrick"
"183417150","Steven Soderbergh"
"177289691","Spike Lee"
"176040665","Jordan Peele"
"171907871","Michael Mann"
"171479930","Lana Wachowski"
"169708112","Tate Taylor"
"169607287","Theodore Melfi"
"167445960","Martin Campbell"
"166523711","George Miller"
"165541820","John Hughes"
"165359751","Rian Johnson"
"165142843","Frank Darabont"
"164193803","Damien Chazelle"
"163973029","Milos Forman"
"163214286","Robert Wise"
"161197785","F. Gary Gray"
"158817758","Brian De Palma"
"156325721","Ben Affleck"
"155548884","Norman Jewison"
"150368897","Henry Selick"
"150161379","Stephen Chbosky"
"148478011","James L. Brooks"
"148362426","Franklin J. Schaffner"
"145006001","Edgar Wright"
