"genre","series_title","gross","imdb_rating","director"
"Drama","One Flew Over the Cuckoo's Nest",112000000,"8.7","Milos Forman"
"Drama, Mystery, Sci-Fi","The Prestige",53089891,"8.5","Christopher Nolan"
"Drama","Seven Pounds",69951824,"7.6","Gabriele Muccino"
"Drama","Synecdoche, New York",3081925,"7.6","Charlie Kaufman"
"Drama, Music, Romance","Ba wang bie ji",5216888,"8.1","Kaige Chen"
"Drama","Philadelphia",77324422,"7.7","Jonathan Demme"
"Drama, Romance, Thriller","Ah-ga-ssi",2006788,"8.1","Chan-wook Park"
"Drama","4 luni, 3 saptamâni si 2 zile",1185783,"7.9","Cristian Mungiu"
"Drama","American History X",6719864,"8.5","Tony Kaye"
"Drama","Midnight Cowboy",44785053,"7.8","John Schlesinger"
"Drama, Romance","Titanic",659325379,"7.8","James Cameron"
"Drama, War","Saving Private Ryan",216540909,"8.6","Steven Spielberg"
"Drama, Fantasy, Romance","The Curious Case of Benjamin Button",127509326,"7.8","David Fincher"
"Drama, Romance","Little Women",108101214,"7.8","Greta Gerwig"
"Drama, Family, Fantasy","A Little Princess",10019307,"7.7","Alfonso Cuarón"
"Drama","Gran Torino",148095302,"8.1","Clint Eastwood"
"Drama, Horror, Mystery","The Birds",11403529,"7.7","Alfred Hitchcock"
"Drama, Thriller, War","1917",159227644,"8.3","Sam Mendes"
"Drama","Ordinary People",54800000,"7.7","Robert Redford"
"Drama","Fried Green Tomatoes",82418501,"7.7","Jon Avnet"
"Drama, Family","Taare Zameen Par",1223869,"8.4","Aamir Khan"
"Drama, Romance","Forrest Gump",330252182,"8.8","Robert Zemeckis"
"Drama, Film-Noir","The Lost Weekend",9460000,"7.9","Billy Wilder"
"Drama, Sci-Fi","Close Encounters of the Third Kind",132088635,"7.6","Steven Spielberg"
"Drama, History, Music","Joyeux Noël",1054361,"7.7","Christian Carion"
"Drama, Mystery, Romance","Un long dimanche de fiançailles",6167817,"7.6","Jean-Pierre Jeunet"
"Drama, Fantasy, Mystery","The Illusionist",39868642,"7.6","Neil Burger"
"Drama, Mystery","Citizen Kane",1585634,"8.3","Orson Welles"
"Drama","Sling Blade",24475416,"8","Billy Bob Thornton"
"Drama, Music, Romance","Once",9439923,"7.8","John Carney"
"Drama","The Verdict",54000000,"7.7","Sidney Lumet"
"Drama, Romance, War","Casablanca",1024560,"8.5","Michael Curtiz"
"Drama","In America",15539266,"7.7","Jim Sheridan"
"Drama","Kramer vs. Kramer",106260000,"7.8","Robert Benton"
"Drama, Thriller","Le locataire",1924733,"7.7","Roman Polanski"
"Drama","Hamlet",4414535,"7.7","Kenneth Branagh"
"Drama, Music, Romance","A Star Is Born",215288866,"7.6","Bradley Cooper"
"Drama, Romance","The Lunchbox",4231500,"7.8","Ritesh Batra"
"Drama, Sport","Creed",109767581,"7.6","Ryan Coogler"
"Drama, Romance","The Perks of Being a Wallflower",17738570,"8","Stephen Chbosky"
"Drama, Romance","Amour",6739492,"7.9","Michael Haneke"
"Drama","Scent of a Woman",63895607,"8","Martin Brest"
"Drama, Fantasy, Music","Pink Floyd: The Wall",22244207,"8.1","Alan Parker"
"Drama, Family","Wonder",132422809,"8","Stephen Chbosky"
"Drama, Mystery, Sci-Fi","Abre los ojos",368234,"7.7","Alejandro Amenábar"
"Drama, Mystery, Thriller","The Conversation",4420000,"7.8","Francis Ford Coppola"
"Drama, History, Romance","Dà hóng denglong gaogao guà",2603061,"8.1","Yimou Zhang"
"Drama","Magnolia",22455976,"8","Paul Thomas Anderson"
"Drama","Vozvrashchenie",502028,"8","Andrey Zvyagintsev"
"Drama","Viskningar och rop",1742348,"8.1","Ingmar Bergman"
"Drama","La grande bellezza",2852400,"7.8","Paolo Sorrentino"
"Drama, Romance","Before Midnight",8114627,"7.9","Richard Linklater"
"Drama, Fantasy, Romance","Edward Scissorhands",56362352,"7.9","Tim Burton"
"Drama, Romance, Thriller","Match Point",23089926,"7.6","Woody Allen"
"Drama","American Beauty",130096601,"8.3","Sam Mendes"
"Drama","Capharnaüm",1661096,"8.4","Nadine Labaki"
"Drama","The Magdalene Sisters",4890878,"7.7","Peter Mullan"
"Drama, Thriller","The Machinist",1082715,"7.7","Brad Anderson"
"Drama","Trainspotting",16501785,"8.1","Danny Boyle"
"Drama, War","La Grande Illusion",172885,"8.1","Jean Renoir"
"Drama, Romance","Fa yeung nin wah",2734044,"8.1","Kar-Wai Wong"
"Drama, Thriller","Room",14677674,"8.1","Lenny Abrahamson"
"Drama, History, Thriller","Bridge of Spies",72313754,"7.6","Steven Spielberg"
"Drama, Romance, War","The Best Years of Our Lives",23650000,"8","William Wyler"
"Drama, Romance","The Fault in Our Stars",124872350,"7.7","Josh Boone"
"Drama, Family, Sport","Bacheha-Ye aseman",933933,"8.3","Majid Majidi"
"Drama, Romance, Sci-Fi","Eternal Sunshine of the Spotless Mind",34400301,"8.3","Michel Gondry"
"Drama, Fantasy, Romance","Der Himmel über Berlin",3333969,"8","Wim Wenders"
"Drama, Sport","The Hustler",8284000,"8","Robert Rossen"
"Drama","Black",733094,"8.2","Sanjay Leela Bhansali"
"Drama, Romance, War","Doctor Zhivago",111722000,"8","David Lean"
"Drama, Mystery, Thriller","Gone Girl",167767189,"8.1","David Fincher"
"Drama","The Shawshank Redemption",28341469,"9.3","Frank Darabont"
"Drama, Horror, Thriller","Peeping Tom",83957,"7.7","Michael Powell"
"Drama, Sci-Fi, Thriller","Gattaca",12339633,"7.8","Andrew Niccol"
"Drama, Horror, Thriller","What Ever Happened to Baby Jane?",4050000,"8.1","Robert Aldrich"
"Drama, Romance","Good Will Hunting",138433435,"8.3","Gus Van Sant"
"Drama, Fantasy, Romance","Mr. Nobody",3600,"7.8","Jaco Van Dormael"
"Drama, History, Mystery","Das weiße Band - Eine deutsche Kindergeschichte",2222647,"7.8","Michael Haneke"
"Drama","Breaking the Waves",4040691,"7.8","Lars von Trier"
"Drama, Romance","Pride & Prejudice",38405088,"7.8","Joe Wright"
"Drama, Romance","Sense and Sensibility",43182776,"7.6","Ang Lee"
"Drama, History, War","Black Hawk Down",108638745,"7.7","Ridley Scott"
"Drama","Efter brylluppet",412544,"7.7","Susanne Bier"
"Drama","Ondskan",15280,"7.8","Mikael Håfström"
"Drama, Family, Musical","Veer-Zaara",2921738,"7.8","Yash Chopra"
"Drama, Horror, Thriller","La piel que habito",3185812,"7.6","Pedro Almodóvar"
"Drama","8½",50690,"8","Federico Fellini"
"Drama","What's Eating Gilbert Grape",9170214,"7.8","Lasse Hallström"
"Drama, Thriller","Das Experiment",141072,"7.7","Oliver Hirschbiegel"
"Drama, Sport","The Wrestler",26236603,"7.9","Darren Aronofsky"
"Drama, Romance","The Notebook",81001787,"7.8","Nick Cassavetes"
"Drama, Romance","The Last Picture Show",29133000,"8","Peter Bogdanovich"
"Drama, Sci-Fi, Thriller","Ex Machina",25442958,"7.7","Alex Garland"
"Drama","Boogie Nights",26400640,"7.9","Paul Thomas Anderson"
"Drama, War","Mandariinid",144501,"8.2","Zaza Urushadze"
"Drama","Ikiru",55240,"8.3","Akira Kurosawa"
"Drama, Romance","Bom Yeoareum Gaeul Gyeoul Geurigo Bom",2380788,"8","Ki-duk Kim"
"Drama, Romance","Before Sunrise",5535405,"8.1","Richard Linklater"
"Drama, Music, Musical","Rockstar",985912,"7.7","Imtiaz Ali"
"Drama, Romance","Hiroshima mon amour",88300,"7.9","Alain Resnais"
"Drama, Horror, Sci-Fi","Bride of Frankenstein",4360000,"7.8","James Whale"
"Drama, Romance","Dev.D",10950,"8","Anurag Kashyap"
"Drama","Requiem for a Dream",3635482,"8.3","Darren Aronofsky"
"Drama","Boyhood",25379975,"7.9","Richard Linklater"
"Drama","Gifted",24801212,"7.6","Marc Webb"
"Drama, War","Beasts of No Nation",83861,"7.7","Cary Joji Fukunaga"
"Drama","Auf der anderen Seite",741283,"7.8","Fatih Akin"
"Drama, History, War","Under sandet",435266,"7.8","Martin Zandvliet"
"Drama, Mystery, Thriller","The Lives of Others",11286112,"8.4","Florian Henckel von Donnersmarck"
"Drama, History, Thriller","Bronenosets Potemkin",50970,"8","Sergei M. Eisenstein"
"Drama, Music, Romance","La leggenda del pianista sull'oceano",259127,"8.1","Giuseppe Tornatore"
"Drama, Mystery, Thriller","Mulholland Dr.",7220243,"7.9","David Lynch"
"Drama","Jungfrukällan",1526000,"8.1","Ingmar Bergman"
"Drama, War","Platoon",138530565,"8.1","Oliver Stone"
