"yearlygross","genre"
"5898659459","Action, Adventure, Sci-Fi"
"4503337598","Animation, Adventure, Comedy"
"2668835626","Action, Adventure, Drama"
"2116341031","Action, Adventure, Fantasy"
"2020898038","Drama"
"2008694522","Animation, Action, Adventure"
"1962892019","Drama, Romance"
"1920413944","Action, Adventure, Comedy"
"1309041757","Action, Crime, Drama"
"1272648027","Biography, Drama, History"
"1256963841","Crime, Drama, Thriller"
"1224499390","Adventure, Family, Fantasy"
"1147536212","Action, Adventure"
"939255006","Comedy, Drama"
"936599498","Biography, Crime, Drama"
"843058902","Action, Adventure, Thriller"
"804923034","Comedy, Drama, Romance"
"778617740","Crime, Drama, Mystery"
"730654126","Animation, Adventure, Family"
"625203258","Crime, Drama"
"623426828","Biography, Drama, Sport"
"620038754","Comedy"
"591605949","Biography, Drama"
"575634440","Adventure, Drama, Fantasy"
"561370423","Adventure, Fantasy"
"547772021","Drama, Mystery, Thriller"
"525374694","Action, Mystery, Thriller"
"495078949","Drama, War"
"490836413","Biography, Drama, Music"
"483107428","Animation, Family, Fantasy"
"452006063","Adventure, Drama, Sci-Fi"
"451808500","Comedy, Crime, Drama"
"435205886","Drama, Western"
"435110554","Family, Sci-Fi"
"426487428","Animation, Adventure, Drama"
"414723280","Action, Sci-Fi"
"369813989","Drama, Sci-Fi, Thriller"
"363138161","Drama, Sport"
"360563721","Horror, Mystery, Thriller"
"348650173","Action, Drama"
"334022979","Drama, Thriller"
"329109762","Adventure, Comedy, Sci-Fi"
"306366452","Comedy, Family"
"301959197","Action, Adventure, Family"
"296788103","Action, Drama, Sci-Fi"
"261663759","Action, Comedy, Fantasy"
"260637933","Adventure, Drama, History"
"260000000","Adventure, Thriller"
"257533532","Crime, Thriller"
"256442259","Action, Biography, Drama"
"256116383","Biography, Drama, Thriller"
"251513985","Animation, Comedy, Crime"
"249711857","Action, Drama, History"
"248595087","Action, Drama, Mystery"
"247376724","Biography, Drama, Family"
"246846396","Drama, Music, Romance"
"244034798","Drama, Sci-Fi"
"235522145","Horror"
"234168260","Adventure, Drama, Romance"
"233966430","Biography, Comedy, Drama"
"232114964","Action, Thriller"
"209028679","Action, Adventure, Mystery"
"201279520","Drama, History, Romance"
"199236020","Mystery, Thriller"
"192456964","Action, Crime, Thriller"
"189222848","Adventure, Drama, Western"
"187209247","Drama, Fantasy, Romance"
"178602270","Adventure, Comedy, Family"
"169506350","Drama, History, War"
"166896560","Drama, Romance, War"
"165448719","Adventure, Drama, War"
"163807688","Comedy, Crime"
"163626036","Drama, Thriller, War"
"157368002","Comedy, Drama, Music"
"155421738","Drama, Family, Musical"
"148515178","Action, Sci-Fi, Thriller"
"146027414","Adventure, Drama"
"142770222","Drama, History, Thriller"
"138923439","Crime, Drama, Fantasy"
"138354968","Comedy, Fantasy, Romance"
"133646678","Drama, Family"
"132072926","Action, Crime, Mystery"
"131434872","Adventure, Biography, Drama"
"119500000","Comedy, Western"
"107100855","Adventure, Biography, Crime"
"104612906","Adventure, Comedy, Crime"
