"imdb_rating","gross","genre","series_title","director"
"9.3",28341469,"Drama","The Shawshank Redemption","Frank Darabont"
"9.2",134966411,"Crime, Drama","The Godfather","Francis Ford Coppola"
"9",4360000,"Crime, Drama","12 Angry Men","Sidney Lumet"
"9",57300000,"Crime, Drama","The Godfather: Part II","Francis Ford Coppola"
"9",534858444,"Action, Crime, Drama","The Dark Knight","Christopher Nolan"
"8.9",96898818,"Biography, Drama, History","Schindler's List","Steven Spielberg"
"8.9",107928762,"Crime, Drama","Pulp Fiction","Quentin Tarantino"
"8.9",377845905,"Action, Adventure, Drama","The Lord of the Rings: The Return of the King","Peter Jackson"
"8.8",6100000,"Western","Il buono, il brutto, il cattivo","Sergio Leone"
"8.8",37030102,"Drama","Fight Club","David Fincher"
"8.8",292576195,"Action, Adventure, Sci-Fi","Inception","Christopher Nolan"
"8.8",315544750,"Action, Adventure, Drama","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson"
"8.8",330252182,"Drama, Romance","Forrest Gump","Robert Zemeckis"
"8.7",46836394,"Biography, Crime, Drama","Goodfellas","Martin Scorsese"
"8.7",112000000,"Drama","One Flew Over the Cuckoo's Nest","Milos Forman"
"8.7",171479930,"Action, Sci-Fi","The Matrix","Lana Wachowski"
"8.7",290475067,"Action, Adventure, Fantasy","Star Wars: Episode V - The Empire Strikes Back","Irvin Kershner"
"8.7",342551365,"Action, Adventure, Drama","The Lord of the Rings: The Two Towers","Peter Jackson"
"8.6",269061,"Action, Adventure, Drama","Shichinin no samurai","Akira Kurosawa"
"8.6",7563397,"Crime, Drama","Cidade de Deus","Fernando Meirelles"
"8.6",10055859,"Animation, Adventure, Family","Sen to Chihiro no kamikakushi","Hayao Miyazaki"
"8.6",53367844,"Comedy, Drama, Thriller","Gisaengchung","Bong Joon Ho"
"8.6",57598247,"Comedy, Drama, Romance","La vita è bella","Roberto Benigni"
"8.6",100125643,"Crime, Drama, Mystery","Se7en","David Fincher"
"8.6",130742922,"Crime, Drama, Thriller","The Silence of the Lambs","Jonathan Demme"
"8.6",136801374,"Crime, Drama, Fantasy","The Green Mile","Frank Darabont"
"8.6",188020017,"Adventure, Drama, Sci-Fi","Interstellar","Christopher Nolan"
"8.6",216540909,"Drama, War","Saving Private Ryan","Steven Spielberg"
"8.6",322740140,"Action, Adventure, Fantasy","Star Wars","George Lucas"
"8.5",19181,"Comedy, Drama, Romance","City Lights","Charles Chaplin"
"8.5",163245,"Comedy, Drama, Family","Modern Times","Charles Chaplin"
"8.5",1024560,"Drama, Romance, War","Casablanca","Michael Curtiz"
"8.5",5321508,"Western","Once Upon a Time in the West","Sergio Leone"
"8.5",6719864,"Drama","American History X","Tony Kaye"
"8.5",11990401,"Drama, Romance","Nuovo Cinema Paradiso","Giuseppe Tornatore"
"8.5",13092000,"Drama, Music","Whiplash","Damien Chazelle"
"8.5",13182281,"Biography, Comedy, Drama","The Intouchables","Olivier Nakache"
"8.5",19501238,"Action, Crime, Drama","Léon","Luc Besson"
"8.5",23341568,"Crime, Mystery, Thriller","The Usual Suspects","Bryan Singer"
"8.5",32000000,"Horror, Mystery, Thriller","Psycho","Alfred Hitchcock"
"8.5",32572577,"Biography, Drama, Music","The Pianist","Roman Polanski"
"8.5",53089891,"Drama, Mystery, Sci-Fi","The Prestige","Christopher Nolan"
"8.5",132384315,"Crime, Drama, Thriller","The Departed","Martin Scorsese"
"8.5",187705427,"Action, Adventure, Drama","Gladiator","Ridley Scott"
"8.5",204843350,"Action, Sci-Fi","Terminator 2: Judgment Day","James Cameron"
"8.5",210609762,"Adventure, Comedy, Sci-Fi","Back to the Future","Robert Zemeckis"
"8.5",335451311,"Crime, Drama, Thriller","Joker","Todd Phillips"
"8.5",422783777,"Animation, Adventure, Drama","The Lion King","Roger Allers"
"8.4",275902,"Comedy","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Stanley Kubrick"
"8.4",288475,"Comedy, Drama, War","The Great Dictator","Charles Chaplin"
"8.4",707481,"Action, Drama, Mystery","Oldeuboi","Chan-wook Park"
"8.4",1223869,"Drama, Family","Taare Zameen Par","Aamir Khan"
"8.4",1661096,"Drama","Capharnaüm","Nadine Labaki"
"8.4",2375308,"Animation, Action, Adventure","Mononoke-hime","Hayao Miyazaki"
"8.4",5017246,"Animation, Drama, Fantasy","Kimi no na wa.","Makoto Shinkai"
"8.4",5321508,"Crime, Drama","Once Upon a Time in America","Sergio Leone"
"8.4",6532908,"Comedy, Drama","3 Idiots","Rajkumar Hirani"
"8.4",8175000,"Crime, Drama, Mystery","Witness for the Prosecution","Billy Wilder"
"8.4",11286112,"Drama, Mystery, Thriller","The Lives of Others","Florian Henckel von Donnersmarck"
"8.4",12391761,"Action, Biography, Drama","Dangal","Nitesh Tiwari"
"8.4",25544867,"Mystery, Thriller","Memento","Christopher Nolan"
"8.4",36764313,"Mystery, Thriller","Rear Window","Alfred Hitchcock"
"8.4",44017374,"Drama, Horror","The Shining","Stanley Kubrick"
"8.4",78900000,"Horror, Sci-Fi","Alien","Ridley Scott"
"8.4",83471511,"Drama, Mystery, War","Apocalypse Now","Francis Ford Coppola"
"8.4",162805434,"Drama, Western","Django Unchained","Quentin Tarantino"
"8.4",190241310,"Animation, Action, Adventure","Spider-Man: Into the Spider-Verse","Bob Persichetti"
"8.4",209726015,"Animation, Adventure, Family","Coco","Lee Unkrich"
"8.4",223808164,"Animation, Adventure, Family","WALL·E","Andrew Stanton"
"8.4",248159971,"Action, Adventure","Raiders of the Lost Ark","Steven Spielberg"
"8.4",448139099,"Action, Adventure","The Dark Knight Rises","Christopher Nolan"
"8.4",678815482,"Action, Adventure, Sci-Fi","Avengers: Infinity War","Anthony Russo"
"8.4",858373000,"Action, Adventure, Drama","Avengers: Endgame","Anthony Russo"
"8.3",28877,"Crime, Mystery, Thriller","M - Eine Stadt sucht einen Mörder","Fritz Lang"
"8.3",55240,"Drama","Ikiru","Akira Kurosawa"
"8.3",332930,"Drama","Ladri di biciclette","Vittorio De Sica"
"8.3",687185,"Drama","Jagten","Thomas Vinterberg"
"8.3",933933,"Drama, Family, Sport","Bacheha-Ye aseman","Majid Majidi"
"8.3",1236166,"Drama, Sci-Fi","Metropolis","Fritz Lang"
"8.3",1373943,"Crime, Drama, Music","Andhadhun","Sriram Raghavan"
"8.3",1585634,"Drama, Mystery","Citizen Kane","Orson Welles"
"8.3",2832029,"Crime, Drama, Thriller","Reservoir Dogs","Quentin Tarantino"
"8.3",3200000,"Mystery, Romance, Thriller","Vertigo","Alfred Hitchcock"
"8.3",3635482,"Drama","Requiem for a Dream","Darren Aronofsky"
"8.3",5450000,"Comedy, Drama, Family","The Kid","Charles Chaplin"
"8.3",5720000,"Crime, Drama, Film-Noir","Double Indemnity","Billy Wilder"
"8.3",6207725,"Crime, Drama, Sci-Fi","A Clockwork Orange","Stanley Kubrick"
"8.3",6857096,"Drama, Mystery, War","Incendies","Denis Villeneuve"
"8.3",7098492,"Drama","Jodaeiye Nader az Simin","Asghar Farhadi"
"8.3",8819028,"Comedy, Musical, Romance","Singin' in the Rain","Stanley Donen"
"8.3",11487676,"Adventure, Drama, Thriller","Das Boot","Wolfgang Petersen"
"8.3",13275000,"Adventure, Mystery, Thriller","North by Northwest","Alfred Hitchcock"
"8.3",15000000,"Western","Per qualche dollaro in più","Sergio Leone"
"8.3",18600000,"Comedy, Drama, Romance","The Apartment","Billy Wilder"
"8.3",28262574,"Crime, Drama","Taxi Driver","Martin Scorsese"
"8.3",30328156,"Comedy, Crime","Snatch","Guy Ritchie"
"8.3",33225499,"Comedy, Romance","Amélie","Jean-Pierre Jeunet"
"8.3",34400301,"Drama, Romance, Sci-Fi","Eternal Sunshine of the Spotless Mind","Michel Gondry"
"8.3",44824144,"Adventure, Biography, Drama","Lawrence of Arabia","David Lean"
"8.3",45598982,"Crime, Drama","Scarface","Brian De Palma"
"8.3",46357676,"Drama, War","Full Metal Jacket","Stanley Kubrick"
"8.3",51973029,"Biography, Drama, History","Amadeus","Milos Forman"
