"gross","genre","series_title","imdb_rating","director"
659325379,"Drama, Romance","Titanic","7.8","James Cameron"
330252182,"Drama, Romance","Forrest Gump","8.8","Robert Zemeckis"
233632142,"Adventure, Drama, Romance","Cast Away","7.8","Robert Zemeckis"
215288866,"Drama, Music, Romance","A Star Is Born","7.6","Bradley Cooper"
198676459,"Drama, History, Romance","Gone with the Wind","8.1","Victor Fleming"
148478011,"Comedy, Drama, Romance","As Good as It Gets","7.7","James L. Brooks"
141319928,"Drama, Romance","Slumdog Millionaire","8","Danny Boyle"
138433435,"Drama, Romance","Good Will Hunting","8.3","Gus Van Sant"
132092958,"Comedy, Drama, Romance","Silver Linings Playbook","7.7","David O. Russell"
127509326,"Drama, Fantasy, Romance","The Curious Case of Benjamin Button","7.8","David Fincher"
124872350,"Drama, Romance","The Fault in Our Stars","7.7","Josh Boone"
111722000,"Drama, Romance, War","Doctor Zhivago","8","David Lean"
108101214,"Drama, Romance","Little Women","7.8","Greta Gerwig"
104945305,"Comedy, Drama, Romance","The Graduate","8","Mike Nichols"
92823600,"Comedy, Drama, Romance","When Harry Met Sally...","7.6","Rob Reiner"
83043761,"Drama, Romance","Brokeback Mountain","7.7","Ang Lee"
81001787,"Drama, Romance","The Notebook","7.8","Nick Cassavetes"
71516617,"Drama, Romance","The Bridges of Madison County","7.6","Clint Eastwood"
70906973,"Comedy, Fantasy, Romance","Groundhog Day","8","Harold Ramis"
57598247,"Comedy, Drama, Romance","La vita è bella","8.6","Roberto Benigni"
56816662,"Comedy, Fantasy, Romance","Midnight in Paris","7.7","Woody Allen"
56362352,"Drama, Fantasy, Romance","Edward Scissorhands","7.9","Tim Burton"
50927067,"Drama, Mystery, Romance","Atonement","7.8","Joe Wright"
45700000,"Comedy, Drama, Romance","Manhattan","7.9","Woody Allen"
45512466,"Comedy, Drama, Romance","Moonrise Kingdom","7.8","Wes Anderson"
44671682,"Comedy, Drama, Romance","The Artist","7.9","Michel Hazanavicius"
43182776,"Drama, Romance","Sense and Sensibility","7.6","Ang Lee"
39200000,"Comedy, Romance","Annie Hall","8","Woody Allen"
38405088,"Drama, Romance","Pride & Prejudice","7.8","Joe Wright"
35893537,"Biography, Drama, Romance","The Theory of Everything","7.7","James Marsh"
35014192,"Comedy, Drama, Romance","50/50","7.6","Jonathan Levine"
34400301,"Drama, Romance, Sci-Fi","Eternal Sunshine of the Spotless Mind","8.3","Michel Gondry"
33225499,"Comedy, Romance","Amélie","8.3","Jean-Pierre Jeunet"
32391374,"Comedy, Drama, Romance","(500) Days of Summer","7.7","Marc Webb"
30500000,"Drama, Romance, War","From Here to Eternity","7.6","Fred Zinnemann"
29133000,"Drama, Romance","The Last Picture Show","8","Peter Bogdanovich"
25568251,"Drama, Romance, Sci-Fi","Her","8","Spike Jonze"
25000000,"Comedy, Music, Romance","Some Like It Hot","8.2","Billy Wilder"
23650000,"Drama, Romance, War","The Best Years of Our Lives","8","William Wyler"
23089926,"Drama, Romance, Thriller","Match Point","7.6","Woody Allen"
22954968,"Drama, Romance","The Remains of the Day","7.8","James Ivory"
18600000,"Comedy, Drama, Romance","The Apartment","8.3","Billy Wilder"
18095701,"Drama, Romance","Call Me by Your Name","7.9","Luca Guadagnino"
17738570,"Drama, Romance","The Perks of Being a Wallflower","8","Stephen Chbosky"
17266971,"Crime, Drama, Romance","A Bronx Tale","7.8","Robert De Niro"
17105219,"Comedy, Drama, Romance","Rushmore","7.7","Wes Anderson"
13474588,"Comedy, Mystery, Romance","Charade","7.9","Stanley Donen"
12281500,"Crime, Drama, Romance","True Romance","7.9","Tony Scott"
11990401,"Drama, Romance","Nuovo Cinema Paradiso","8.5","Giuseppe Tornatore"
10900000,"Drama, Music, Romance","The Red Shoes","8.1","Michael Powell"
10631333,"Comedy, Fantasy, Romance","The Purple Rose of Cairo","7.7","Woody Allen"
10550000,"Comedy, Drama, Romance","The Quiet Man","7.7","John Ford"
10464000,"Drama, Film-Noir, Romance","Notorious","7.9","Alfred Hitchcock"
9439923,"Drama, Music, Romance","Once","7.8","John Carney"
9284265,"Drama, Mystery, Romance","Hable con ella","7.9","Pedro Almodóvar"
8819028,"Comedy, Musical, Romance","Singin' in the Rain","8.3","Stanley Donen"
8114627,"Drama, Romance","Before Midnight","7.9","Richard Linklater"
