"yearlygross","star1"
"2493097454","Tom Hanks"
"2205039403","Joe Russo"
"1877321752","Leonardo DiCaprio"
"1835901034","Daniel Radcliffe"
"1351591432","Christian Bale"
"1150720327","Robert Downey Jr."
"1035942020","Elijah Wood"
"936662225","Daisy Ridley"
"922340616","Mark Hamill"
"870022836","Craig T. Nelson"
"760507625","Sam Worthington"
"754130639","Harrison Ford"
"749770702","Matt Damon"
"739681781","Daniel Craig"
"727345015","Tom Cruise"
"722989701","Chris Pratt"
"687662444","Ryan Reynolds"
"597209122","Bruce Willis"
"587715386","Denzel Washington"
"577650742","John Musker"
"532177324","Felicity Jones"
"513371130","Chris Pine"
"505390358","Dustin Hoffman"
"502669792","Russell Crowe"
"493223451","Johnny Depp"
"480538964","Joaquin Phoenix"
"470280781","Al Pacino"
"468447801","Clint Eastwood"
"435110554","Henry Thomas"
"422783777","Rob Minkoff"
"407656464","Sam Neill"
"380843261","Lee Unkrich"
"360685639","Brad Pitt"
"356461711","Ronnie Del Carmen"
"354124550","Bill Murray"
"341268248","Rich Moore"
"340410662","Paul Newman"
"333495385","Jack Nicholson"
"330884800","Kevin Costner"
"329109762","Michael J. Fox"
"323185537","Robert De Niro"
"315058289","Chris Hemsworth"
"303792692","Ben Affleck"
"303003568","Martin Freeman"
"302978898","Arnold Schwarzenegger"
"297823676","Roy Scheider"
"293004164","Bob Peterson"
"289916256","David Silverman"
"287279370","Hugh Jackman"
"285761243","Macaulay Culkin"
"277322503","Zach Galifianakis"
"274092705","Sandra Bullock"
"267665011","Vicky Jenson"
"267059173","Colin Firth"
"265487013","Julie Andrews"
"258366855","Ian McKellen"
"257760692","Phil Lord"
"255959475","Quinton Aaron"
"251513985","Chris Renaud"
"245852179","Ash Brannon"
"245526630","Joel Coen"
"241899807","Liam Neeson"
"238137034","Jamie Foxx"
"236541627","Ellen Burstyn"
"234293551","Robin Williams"
"233921534","Patrick Stewart"
"233518283","Will Smith"
"223808164","Ben Burtt"
"223470265","Jake Gyllenhaal"
"222527828","Chris Williams"
"218967620","Kirk Wise"
"218055109","Kevin Spacey"
"217581231","Chris Sanders"
"216428042","Rami Malek"
"215318302","Matthew McConaughey"
"215288866","Lady Gaga"
"210614939","Gerard Butler"
"209726015","Adrian Molina"
"208545589","Gary Oldman"
"206445654","Jan Pinkava"
"204420069","George Clooney"
"204073085","Charlton Heston"
"200821936","Byron Howard"
"200752479","George Cukor"
"190241310","Peter Ramsey"
"189422889","John C. Reilly"
"188373161","Fionn Whitehead"
"186163358","Ryan Gosling"
"177002924","Jay Baruchel"
"176040665","Daniel Kaluuya"
"172552980","Jesse Eisenberg"
"171479930","Lilly Wachowski"
"169708112","Emma Stone"
"169607287","Taraji P. Henson"
"167715455","Tom Hardy"
"164448151","Sylvester Stallone"
"164060248","Sigourney Weaver"
"164014166","James McAvoy"
"161197785","O'Shea Jackson Jr."
"160018502","Jim Carrey"
"159227644","Dean-Charles Chapman"
"156452370","Bob Hoskins"
"155482171","Daniel Day-Lewis"
"153272498","Mel Gibson"
"146737519","Sean Penn"
"144566411","Marlon Brando"
"141843612","Phil Harris"
"141319928","Loveleen Tandan"
"138530565","Charlie Sheen"
"136307228","Uma Thurman"
"132422809","Jacob Tremblay"
"132092958","Bradley Cooper"
"132088635","Richard Dreyfuss"
"131133232","Josh Hartnett"
"130742922","Jodie Foster"
"128929268","Franka Potente"
"128078872","Yun-Fat Chow"
"124987023","Suraj Sharma"
"124872350","Shailene Woodley"
"120620254","Barry Cook"
"120425861","Morgan Freeman"
"120017649","Mark Wahlberg"
"119500000","Cleavon Little"
"119285432","Katharine Hepburn"
"115646235","Sharlto Copley"
"111722000","Omar Sharif"
"109767581","Michael B. Jordan"
"108101214","Saoirse Ronan"
"107928762","John Travolta"
"107825862","Ansel Elgort"
"107509799","Jackie Earle Haley"
"107018663","Gene Hackman"
"106954678","Natalie Portman"
"101007715","Ethan Coen"
"100546139","Amy Adams"
"100492203","Hilary Swank"
"98467863","Danny Glover"
"98053073","Nicole Kidman"
"96966369","Matthew Broderick"
"96698616","Woody Allen"
"92823600","Billy Crystal"
"91125683","Benedict Cumberbatch"
"90955177","Viggo Mortensen"
"90634553","Jim Caviezel"
"90300000","Gene Wilder"
"89550741","Audrey Hepburn"
"89332155","Keira Knightley"
"89227241","Michael Douglas"
"86858183","Cary Elwes"
"83471511","Martin Sheen"
"83400000","David Zucker"
"82758787","Ewan McGregor"
"82418501","Kathy Bates"
"81001787","Gena Rowlands"
"80500000","Topol"
"78912963","William Shatner"
"78756177","Leslie Nielsen"
"78343749","Jet Li"
"78111192","Don Cheadle"
"76657000","Jim Henson"
"76408097","Samuel Armstrong"
"75286229","Dakota Fanning"
"75082668","Danny Elfman"
"74103820","Quentin Tarantino"
"70511035","Hugo Weaving"
"67209615","Andrew Garfield"
"67101119","Peter O'Toole"
"65367000","Steve McQueen"
"63127234","Jack Lemmon"
"61700000","George C. Scott"
"61503218","Sean Astin"
"61464313","James Stewart"
"61276872","James Caan"
"59891098","Valerie Faris"
"59649349","Edward Norton"
"59100318","Ralph Fiennes"
"58234549","Sean Connery"
"57938693","J. Mackye Gruber"
"57598247","Roberto Benigni"
"57504069","Cuba Gooding Jr."
"57229890","John Belushi"
"56972472","William Holden"
"56954992","Keir Dullea"
"56816662","Owen Wilson"
"56700000","Spencer Tracy"
"56671993","Chiwetel Ejiofor"
"56505065","Kevin Jarre"
"56116183","Richard Gere"
"54800000","Donald Sutherland"
"54513740","Frances McDormand"
"54117416","Samuel L. Jackson"
"53427264","Kang-ho Song"
"52929168","Joe Pesci"
"52767889","Ben Kingsley"
"52287414","Wil Wheaton"
"52037603","Trey Parker"
"51973029","F. Murray Abraham"
"51739495","Dev Patel"
"51401758","Jude Law"
"50866635","Gerardo Taracena"
"50715374","Mia Farrow"
"49530280","Steve Martin"
"48071303","Aaron Taylor-Johnson"
"48023088","Charlize Theron"
"47695120","Casey Affleck"
"47000000","Donald Pleasence"
