"gross","genre","series_title","imdb_rating","director"
335451311,"Crime, Drama, Thriller","Joker","8.5","Todd Phillips"
304360277,"Action, Adventure, Thriller","Skyfall","7.7","Sam Mendes"
293506292,"Drama, Mystery, Thriller","The Sixth Sense","8.1","M. Night Shyamalan"
274092705,"Drama, Sci-Fi, Thriller","Gravity","7.7","Alfonso Cuarón"
260000000,"Adventure, Thriller","Jaws","8","Steven Spielberg"
227471070,"Action, Mystery, Thriller","The Bourne Ultimatum","8","Paul Greengrass"
220159104,"Action, Adventure, Thriller","Mission: Impossible - Fallout","7.7","Christopher McQuarrie"
183417150,"Crime, Thriller","Ocean's Eleven","7.7","Steven Soderbergh"
176241941,"Action, Mystery, Thriller","The Bourne Supremacy","7.7","Paul Greengrass"
176040665,"Horror, Mystery, Thriller","Get Out","7.7","Jordan Peele"
167767189,"Drama, Mystery, Thriller","Gone Girl","8.1","David Fincher"
167445960,"Action, Adventure, Thriller","Casino Royale","8","Martin Campbell"
159227644,"Drama, Thriller, War","1917","8.3","Sam Mendes"
145000989,"Action, Thriller","Taken","7.8","Pierre Morel"
141340178,"Drama, Thriller","A Few Good Men","7.7","Rob Reiner"
136025503,"Biography, Drama, Thriller","Argo","7.7","Ben Affleck"
132384315,"Crime, Drama, Thriller","The Departed","8.5","Martin Scorsese"
130742922,"Crime, Drama, Thriller","The Silence of the Lambs","8.6","Jonathan Demme"
128012934,"Mystery, Thriller","Shutter Island","8.2","Martin Scorsese"
121661683,"Action, Mystery, Thriller","The Bourne Identity","7.9","Doug Liman"
115646235,"Action, Sci-Fi, Thriller","District 9","7.9","Neill Blomkamp"
106954678,"Drama, Thriller","Black Swan","8","Darren Aronofsky"
104454762,"Crime, Drama, Thriller","Road to Perdition","7.7","Sam Mendes"
100012499,"Action, Adventure, Thriller","Die Hard: With a Vengeance","7.6","John McTiernan"
96522687,"Horror, Mystery, Thriller","The Others","7.6","Alejandro Amenábar"
91125683,"Biography, Drama, Thriller","The Imitation Game","8","Morten Tyldum"
83008852,"Action, Thriller","Die Hard","8.2","John McTiernan"
76631907,"Crime, Drama, Thriller","Training Day","7.7","Antoine Fuqua"
76270454,"Crime, Drama, Thriller","The Untouchables","7.9","Brian De Palma"
74283625,"Crime, Drama, Thriller","No Country for Old Men","8.1","Ethan Coen"
74103820,"Crime, Thriller","Sin City","8","Frank Miller"
72313754,"Drama, History, Thriller","Bridge of Spies","7.6","Steven Spielberg"
70405498,"Drama, History, Thriller","JFK","8","Oliver Stone"
67436818,"Crime, Drama, Thriller","Heat","8.2","Michael Mann"
66208183,"Action, Crime, Thriller","Kill Bill: Vol. 2","8","Quentin Tarantino"
65207127,"Action, Crime, Thriller","Lethal Weapon","7.6","Richard Donner"
61276872,"Drama, Thriller","Misery","7.8","Rob Reiner"
57938693,"Drama, Sci-Fi, Thriller","The Butterfly Effect","7.6","Eric Bress"
57366262,"Adventure, Drama, Thriller","Blood Diamond","8","Edward Zwick"
57141459,"Mystery, Sci-Fi, Thriller","Twelve Monkeys","8","Terry Gilliam"
56000369,"Horror, Mystery, Thriller","Saw","7.6","James Wan"
